product_id,product_name,listing_price,sale_price,discounted_sale_price,brand,description,rating,reviews
CU3005-171,Nike Air Max 90,USD 0.00,"USD 9,995.00","USD 8,995.50",Nike,"30 years after its original release, the Nike Air Max 90 is back to celebrate the new year. A tonal graphic print, inspired by the folk art of paper cutting, celebrates breakthrough moments from the past that also coincided with the Year of the Rat. Bold metallic gold accents include a symbolic 2020 sign-off on the tongue to finish this design that marks the beginning of a new decade and zodiac cycle.",0,0
CU3004-176,Nike Air Max 90,USD 0.00,"USD 9,995.00","USD 9,495.25",Nike,"30 years after its original release, the Nike Air Max 90 is back to celebrate the new year. A tonal graphic print, inspired by the folk art of paper cutting, celebrates breakthrough moments from the past that also coincided with the Year of the Rat. Soft, sateen-like material, classic TPU accents and hints of metallic silver finish this design that marks the beginning of a new decade and zodiac cycle.",0,0
CQ3317-001,Nike AF-1 Shadow SE,USD 0.00,"USD 9,995.00","USD 9,495.25",Nike,"A fun, playful twist on a classic design, the Nike Air Force 1 Shadow has a layered upper, repeated graphics and an exaggerated midsole that will make them think they're seeing double.",0,0
BV1021-007,Nike P-6000 Icon Clash,"USD 7,995.00","USD 5,597.00","USD 5,597.00",Nike,"A mash-up of Pegasus' past, the Nike P-6000 Icon Clash features breathable mesh with horizontal and vertical overlays for a 2000s running look that is as striking as, say, a majestic winged horse. Drawing on the design of the Nike Pegasus 25 and 2006, its running aesthetic meets all-day comfort for the streets.",4.7,10
CJ9585-600,Nike P-6000 SE,"USD 8,995.00","USD 6,297.00","USD 5,982.15",Nike,"A mash-up of Pegasus' past, the Nike P-6000 SE features breathable mesh with horizontal and vertical overlays for a 2000s running look. Its retro running aesthetic meets all-day comfort for the streets.",0,0
CD5029-001,Kyrie 6 EP 'Chinese New Year',USD 0.00,"USD 10,995.00","USD 10,445.25",Nike,"According to the four-year cycle of the Chinese zodiac, the year of the mouse represents growth. Through the folk-art tradition of Jianzhi (paper cutting), the Kyrie 6 'Chinese New Year' honours major breakthroughs in Nike innovation with a graphic on the tongue. A watercolour-themed print completes the art-inspired CNY theme.",5,1
CK7200-800,Nike Air Max Verona,USD 0.00,"USD 10,995.00","USD 10,445.25",Nike,"Add comfort and style to your journey. Designed with women in mind, the Nike Air Max Verona has a mixed material upper, plush collar, flashy colours and an intricately stitched Swoosh logo. Nike Air cushioning combines with a lifted foam heel for a modern touch.",0,0
CK3022-005,Air Jordan 1 Low SE,USD 0.00,"USD 8,995.00","USD 8,545.25",Nike,"Always fresh and never out of style, the Air Jordan 1 Low is one of the most iconic sneakers of all time. This SE version shakes up the classic design with flavourful new colour schemes and trim details.",0,0
CJ0592-001,Nike Air Max 98,USD 0.00,"USD 16,995.00","USD 15,805.35",Nike,"Always one step ahead, the Nike Air Max 98 features the OG design lines that were inspired by the walls of the Grand Canyon, while adding bursts of fresh colour to the upper. The fluid, textured look and full-length Nike Air cushioning set you apart from the pack.",0,0
AV4417-002,Nike Air Max 98 LX,"USD 15,995.00","USD 12,797.00","USD 11,901.21",Nike,"Always one step ahead, the Nike Air Max 98 LX features the OG design lines that were inspired by the walls of the Grand Canyon while stepping into the future with a colourful medley of recycled materials on the upper. The fluid, textured look and full-length Nike Air cushioning set you apart as you turn waste into style.",4.5,6
